currency,ALL,AMD,AUD,BIF,BRL,CAD,CDF,CHF,CLP,COP,CZK,DZD,EUR,GBP,GHS,GTQ,IDR,INR,ISK,JMD,JPY,KES,KRW,MUR,MXN,MZN,NIO,NOK,NZD,PEN,PHP,PLN,PYG,RSD,SEK,SGD,THB,TRY,TZS,UGX,UYU,ZAR,ZMW
CZK,0.7343224889337489,0.009905567409882243,0.5389424087129175,0.03838503427991606,0.0162213705908831,0.3933261719048393,-0.0734687236447096,0.8795569591773524,0.21035082549176723,-0.02221597444940315,1.0,0.17297438273337581,0.9034557901644569,0.7777282296430801,-0.220377731519256,0.04319795475436256,0.22849313696486298,0.1298167415934231,0.5646345082593577,-0.16484382810435266,0.6478009746664493,0.3756388194850567,0.4992741367568083,0.22943958126119235,-0.00870430841901531,0.27230508738207404,-0.21104552361616932,0.7549655908551768,0.4611641208815747,0.13466665272801173,0.18565412604943737,0.7195988655997023,-0.1582657627986166,0.7906516343303417,0.856853480285447,0.6681697568786419,0.5713420658081747,0.027647501358185275,0.27698559765369796,0.02781557706559135,-0.15225673019410435,0.4020409709155267,-0.06523782890933882
DZD,0.2938834669231479,0.0926301908485204,0.19965030167329081,-0.09026510678173981,-0.09499794984087295,0.08566790462110234,0.02567162599889717,0.17303484435610703,0.18327854954458728,0.007914716645095193,0.17297438273337581,1.0,0.19024448547057815,0.21165627214034471,0.08909024333550572,0.02702461581453662,-0.12351346146458572,0.09961241122130687,0.09142628696917125,-0.08560164611111461,0.22245110326287515,0.23431826129568356,-0.02922153373168766,0.029931215294087543,-0.03751899611381263,0.12088536039810135,-0.12093395212819012,0.16240205725243492,0.19671440823031094,0.02168140314364896,-0.021722367175106817,0.18764605242852356,0.21657256571679268,0.18169823166462723,0.19111847085630887,0.16065232693575648,0.10610918120878991,-0.04646252365363583,0.10674020384424433,0.09360521301853632,-0.03183714612300883,0.3187155251237746,0.052792229065889595
EUR,0.848159894320248,-0.00663736371601151,0.6399234124294428,-0.01938995424501264,-0.001469936075103652,0.47007267526593327,-0.14332614066694466,0.9452077947928229,0.23223766092312326,-0.052596017853662656,0.9034557901644569,0.19024448547057815,1.0,0.8218963231760336,-0.21637977885844376,-0.07966323616910205,0.2874917550033449,0.17245662385677735,0.6423412474844105,-0.21003190265579885,0.6556241826077424,0.3398426889491539,0.49774633001839036,0.3571451260236798,-0.05666069972679274,0.2482576347026302,-0.3532091351424969,0.7889890223595001,0.5661476896310802,0.10593688661130615,0.07558643945081599,0.6926654439788865,-0.1804149815499615,0.8842201717882007,0.9357133599704314,0.6977333116115139,0.5810112234092716,0.05385279542653614,0.2578374140531476,0.03935386428285277,-0.1625019107285388,0.42934515431401904,-0.0016875019897727066
GBP,0.7538344109433711,0.06701542434734573,0.5981420496626914,-0.043729394964942006,-0.06052145005006308,0.3340702764118817,0.027598925552212262,0.7930330444694509,0.19665665159119392,0.0005464309934314121,0.7777282296430801,0.21165627214034471,0.8218963231760336,1.0,-0.09408798371437911,-0.0768238222042525,0.122183013963622,0.1850776691740783,0.6205268075210204,0.007329551684974121,0.5907961793875787,0.1562538661757873,0.4972156901947212,0.22393830354334077,0.02745674344350927,0.19754560557871795,-0.2395927436520273,0.6263767446223708,0.5502061040929456,0.05919712365013968,0.0038555945652805216,0.604179365249497,-0.17812083372629045,0.7661879535013632,0.7990879669978493,0.5830973026218117,0.5286179642116782,0.09008424185002359,0.1262853854992109,0.1319651998892829,-0.17435760503794517,0.34518340962975497,-0.022322163630813276
GHS,-0.03413531682088902,0.18067519700281506,-0.05502698256691694,-0.038703887689079446,0.23885802730666245,0.0391833762983508,0.0403873321656799,-0.2412755362383193,0.1558521124195506,0.29344922617611313,-0.220377731519256,0.08909024333550572,-0.21637977885844376,-0.09408798371437911,1.0,-0.11635582272681101,-0.30655669327906626,0.09874304392942317,-0.2332933439241193,0.08798598878731459,-0.20606650702465285,0.011040336596807074,-0.06465646623824636,-0.20222644193603434,0.1955898408992969,-0.028335546382956746,0.4460041940585421,-0.2274839269674826,-0.16518309570251496,0.01586241946599917,0.009023034405385943,0.04651507349006359,0.3070959085933966,-0.2076637990683875,-0.14457665835387776,-0.12792517313907364,0.0017718385738216978,0.17052469948806154,-0.020400668874516175,0.1877131766392883,0.44580365169822417,-0.23220813094832066,0.04512946764626409
GTQ,0.052051693277278065,0.004828107373756344,-0.1726362871352958,0.03398512152683126,-0.1606787214726536,-0.16051226073069053,-0.15175355875679922,-0.02358576614077555,-0.01080649210490352,0.030431362592120974,0.04319795475436256,0.02702461581453662,-0.07966323616910205,-0.0768238222042525,-0.11635582272681101,1.0,-0.025232352950645808,-0.10479261181174128,-0.12732367797747415,0.08188098732607921,-0.1082082097719513,0.012995410113875004,0.05451464289078358,-0.2062325076926653,0.20223585178543518,-0.0314923655626221,0.12092593259743974,0.05950529722993759,-0.18150561524189524,0.037742299528665466,0.004945169859859026,0.17141430374883135,0.004132137984653339,-0.12403352192024225,-0.08897998224867439,0.021475434737518402,-0.20171851832321608,0.10634049136131726,-0.028639974249619466,0.17783223335302442,-0.12459658333941634,0.03914024095630148,0.11701924257799125
IDR,0.08309499935656796,-0.22515510819578224,0.4844960112330696,0.07282894957134028,0.27793014357040974,0.3178451175753204,0.05984548217330163,0.16032741600760952,0.3053922819014332,0.24871906346794942,0.22849313696486298,-0.12351346146458572,0.2874917550033449,0.122183013963622,-0.30655669327906626,-0.025232352950645808,1.0,0.2079767145389549,0.21229386943919104,-0.07284999239080424,0.11618243841541152,0.187262893571773,0.34397270565642435,0.13169235467301343,0.12395997972025276,0.030603105982388665,-0.266623119205388,0.24027515418825213,0.2667897462761684,0.13363560815732736,0.28847280886475657,0.2145027668093092,0.07522852188118695,0.29492044513460774,0.3325909794035932,0.4269613395662269,0.4024313378200479,0.3289722315300323,-0.020599820237906928,0.045416488902935856,-0.040849820606397906,0.25504890955955334,0.011581452762335208
INR,0.21382926611405131,0.016987171932942715,0.3191732741151311,-0.08668648829373661,0.2116211851054405,0.21179254992238658,-0.039880827687122075,0.05828649718556614,0.18960434868439094,0.38613541369073745,0.1298167415934231,0.09961241122130687,0.17245662385677735,0.1850776691740783,0.09874304392942317,-0.10479261181174128,0.2079767145389549,1.0,0.2599293405838709,0.1251011205647931,0.17615313077714134,0.22407813500399404,0.38228930901079927,0.156001256153531,0.2116438068796413,0.20216952996296536,0.004932808936020688,0.1378446729824661,0.2524612853101345,0.23111650441682235,0.22136638406566492,0.268702591582142,0.05814512919391407,0.19640523039788155,0.2508098303001118,0.34758600445991616,0.3595570580765499,0.38437928401148064,0.2325587179961943,0.027425002727072052,0.03478403419550866,0.32410436019718586,0.09361885683616823
ISK,0.5074416620958645,0.07010974042463801,0.5879920333498085,-0.00041390688849386433,0.0732368703632437,0.4698971727774755,-0.047726311270140445,0.5827983833027631,0.2538917815093568,0.24126724274574002,0.5646345082593577,0.09142628696917125,0.6423412474844105,0.6205268075210204,-0.2332933439241193,-0.12732367797747415,0.21229386943919104,0.2599293405838709,1.0,-0.03719343336446788,0.33764332498451793,0.33594886863574464,0.3694463478074757,0.31709486337216375,0.22029795391943022,0.22690136035323522,-0.23629064761889582,0.5072512788951021,0.672132106740341,0.08682348990961739,0.16258577046009584,0.582208193594816,-0.2511444682251372,0.5506732799156676,0.5915036640987024,0.432464798383113,0.36806396174732553,0.2188802424403848,0.19286448072170592,0.1628646130894052,-0.14369034100306458,0.3676576965728272,0.043292304521522745
JMD,-0.19975086525451716,0.15417722533278458,-0.11077864337734318,-0.0967897696676532,-0.08640541900007127,-0.17544383886044088,-0.003337474927304848,-0.1861077739635771,-0.05960874294585382,0.05444279773291742,-0.16484382810435266,-0.08560164611111461,-0.21003190265579885,0.007329551684974121,0.08798598878731459,0.08188098732607921,-0.07284999239080424,0.1251011205647931,-0.03719343336446788,1.0,-0.1364021243763031,-0.3441798642915379,0.02819573299891807,-0.27492891848234136,-0.13002936705078622,0.058175818529141915,0.3085769902357184,-0.09134222451162669,-0.05977088987905599,-0.041803843929191974,-0.07625118199697158,-0.04154886429501789,-0.03545440177771634,-0.11885625283097868,-0.13707885105616108,-0.04266078173244546,0.018297321443714917,-0.020476280315054867,0.0937876411504138,0.2533443794804162,0.06704823472279414,-0.1261818580423402,-0.11040574275641618
